id,nom_latin,severite,categorie,probleme,action_recommandee
13,Actaea pachypoda,AVERTISSEMENT,usage,Aucun usage paysager renseigné,Lire la section UTILISATION de la fiche
13,Actaea pachypoda,AVERTISSEMENT,sol,Aucune préférence de sol renseignée,Reprendre la section UTILISATION pour repérer les indications de sol
14,Actaea rubra,INFO,completude,Entrée coquille (seuls nom et famille renseignés),Reprendre la fiche du livre pour transcription complète
15,Actaea spicata,AVERTISSEMENT,usage,Aucun usage paysager renseigné,Lire la section UTILISATION de la fiche
15,Actaea spicata,AVERTISSEMENT,sol,Aucune préférence de sol renseignée,Reprendre la section UTILISATION pour repérer les indications de sol
16,Adenophora liliifolia,AVERTISSEMENT,usage,Aucun usage paysager renseigné,Lire la section UTILISATION de la fiche
16,Adenophora liliifolia,AVERTISSEMENT,sol,Aucune préférence de sol renseignée,Reprendre la section UTILISATION pour repérer les indications de sol
17,Adenophora tashiroi,AVERTISSEMENT,usage,Aucun usage paysager renseigné,Lire la section UTILISATION de la fiche
17,Adenophora tashiroi,AVERTISSEMENT,sol,Aucune préférence de sol renseignée,Reprendre la section UTILISATION pour repérer les indications de sol
18,Adonis vernalis,AVERTISSEMENT,usage,Aucun usage paysager renseigné,Lire la section UTILISATION de la fiche
18,Adonis vernalis,AVERTISSEMENT,sol,Aucune préférence de sol renseignée,Reprendre la section UTILISATION pour repérer les indications de sol
19,Aegopodium podagraria,AVERTISSEMENT,usage,Aucun usage paysager renseigné,Lire la section UTILISATION de la fiche
19,Aegopodium podagraria,AVERTISSEMENT,sol,Aucune préférence de sol renseignée,Reprendre la section UTILISATION pour repérer les indications de sol
20,Aethionema armenum,AVERTISSEMENT,usage,Aucun usage paysager renseigné,Lire la section UTILISATION de la fiche
20,Aethionema armenum,AVERTISSEMENT,sol,Aucune préférence de sol renseignée,Reprendre la section UTILISATION pour repérer les indications de sol
21,Agapanthus africanus,AVERTISSEMENT,usage,Aucun usage paysager renseigné,Lire la section UTILISATION de la fiche
21,Agapanthus africanus,AVERTISSEMENT,sol,Aucune préférence de sol renseignée,Reprendre la section UTILISATION pour repérer les indications de sol
22,Agastache barberi,AVERTISSEMENT,usage,Aucun usage paysager renseigné,Lire la section UTILISATION de la fiche
22,Agastache barberi,AVERTISSEMENT,sol,Aucune préférence de sol renseignée,Reprendre la section UTILISATION pour repérer les indications de sol
23,Agastache foeniculum,AVERTISSEMENT,usage,Aucun usage paysager renseigné,Lire la section UTILISATION de la fiche
23,Agastache foeniculum,AVERTISSEMENT,sol,Aucune préférence de sol renseignée,Reprendre la section UTILISATION pour repérer les indications de sol
24,Ajania pacifica,AVERTISSEMENT,usage,Aucun usage paysager renseigné,Lire la section UTILISATION de la fiche
24,Ajania pacifica,AVERTISSEMENT,sol,Aucune préférence de sol renseignée,Reprendre la section UTILISATION pour repérer les indications de sol
25,Ajuga genevensis,AVERTISSEMENT,usage,Aucun usage paysager renseigné,Lire la section UTILISATION de la fiche
25,Ajuga genevensis,AVERTISSEMENT,sol,Aucune préférence de sol renseignée,Reprendre la section UTILISATION pour repérer les indications de sol
