code_postal,ville,latitude,longitude
59000,Lille,50.6292,3.0573
59160,Lomme,50.6446,3.0110
59260,Hellemmes,50.6315,3.1077
59130,Lambersart,50.6464,3.0193
59350,Saint-André-lez-Lille,50.6604,3.0467
59110,La Madeleine,50.6556,3.0754
59700,Marcq-en-Baroeul,50.6764,3.0954
59118,Wambrechies,50.6866,3.0476
59170,Croix,50.6789,3.1493
59100,Roubaix,50.6927,3.1746
59200,Tourcoing,50.7236,3.1612
59290,Wasquehal,50.6705,3.1336
59650,Villeneuve-d'Ascq,50.6235,3.1450
59790,Ronchin,50.6049,3.0777
59155,Faches-Thumesnil,50.5967,3.0745
59273,Fretin,50.5594,3.1396
59810,Lesquin,50.5865,3.1114
59175,Templemars,50.5747,3.0542
59139,Wattignies,50.5872,3.0438
59211,Santes,50.5939,2.9628
59136,Wavrin,50.5742,2.9358
59120,Loos,50.6090,3.0146
59134,Fournes-en-Weppes,50.5860,2.8936
59320,Hallennes-lez-Haubourdin,50.6083,2.9625
59320,Haubourdin,50.6089,2.9920
59133,Phalempin,50.5148,3.0185
59239,Thumeries,50.4772,3.0535
59147,Gondecourt,50.5443,3.0224
59840,Prémesques,50.6558,2.9528
59320,Englos,50.6261,2.9573
59320,Sequedin,50.6255,2.9895
59113,Seclin,50.5487,3.0276
59152,Gruson,50.5964,3.2032
59242,Templeuve-en-Pévèle,50.5280,3.1774
59510,Hem,50.6552,3.1868
59223,Roncq,50.7531,3.1215
59166,Bousbecque,50.7746,3.0870
59250,Halluin,50.7869,3.1255
59960,Neuville-en-Ferrain,50.7480,3.1594
59560,Comines,50.7600,3.0107
59126,Linselles,50.7393,3.0742
59830,Cysoing,50.5706,3.2162
59830,Bachy,50.5482,3.2210
59830,Bourghelles,50.5646,3.2466
59262,Sainghin-en-Mélantois,50.6022,3.1685
59262,Péronne-en-Mélantois,50.6087,3.1904
59310,Nomain,50.5072,3.2492
59310,Orchies,50.4749,3.2431
59310,Beuvry-la-Forêt,50.4606,3.2337
59890,Quesnoy-sur-Deûle,50.7132,2.9992
59236,Frelinghien,50.7160,2.9384
59115,Leers,50.6836,3.2435
59150,Wattrelos,50.7019,3.2147
59126,Verlinghem,50.6822,3.0074
59190,Mouvaux,50.7013,3.1355
59280,Armentières,50.6889,2.8826
59114,Steenwerck,50.7015,2.7786
59249,Aubers,50.5931,2.8308
59134,Herlie,50.5842,2.8468
59134,Beaucamps-Ligny,50.6074,2.9161
59280,Bois-Grenier,50.6537,2.8804
59840,Lompret,50.6690,2.9894
59134,Radinghem-en-Weppes,50.6234,2.8845
59237,Pérenchies,50.6707,2.9734
59251,Allennes-les-Marais,50.5379,2.9531
59112,Annœullin,50.5295,2.9318
59152,Anstaing,50.6041,3.1952
59221,Bauvin,50.5179,2.8948
59910,Bondues,50.7014,3.0956
59830,Bouvines,50.6113,3.1910
59160,Capinghem,50.6458,2.9612
59112,Carnin,50.5198,2.9045
59152,Chéreng,50.6117,3.1934
59890,Deûlémont,50.7350,2.9338
59272,Don,50.5516,2.9205
59320,Emmerin,50.5948,3.0017
59320,Ennetières-en-Weppes,50.6362,2.9397
59320,Erquinghem-le-Sec,50.6112,2.9331
59193,Erquinghem-Lys,50.6768,2.8456
59320,Escobecques,50.6321,2.9074
59551,Forest-sur-Marque,50.6298,3.1894
59249,Fromelles,50.6138,2.8502
59496,Hantay,50.5418,2.8927
59147,Herlies,50.5894,2.8558
59263,Houplin-Ancoisne,50.5633,3.0027
59116,Houplines,50.6945,2.9152
59480,Illies,50.5715,2.8317
59480,La Bassée,50.5340,2.8042
59930,La Chapelle-d'Armentières,50.6897,2.8936
59390,Lannoy,50.6678,3.2110
59134,Le Maisnil,50.6158,2.8775
59390,Lys-lez-Lannoy,50.6713,3.2164
59520,Marquette-lez-Lille,50.6760,3.0665
59274,Marquillies,50.5599,2.8686
59370,Mons-en-Barœul,50.6426,3.1085
59139,Noyelles-lès-Seclin,50.5756,3.0342
59185,Provin,50.5143,2.9072
59390,Sailly-lez-Lannoy,50.6597,3.2053
59496,Salomé,50.5314,2.8578
59390,Toufflers,50.6604,3.2332
59152,Tressin,50.6172,3.1923
59175,Vendeville,50.5788,3.0845
59280,Warneton,50.7475,2.9504
59117,Wervicq-Sud,50.7742,3.0431
59134,Wicres,50.6097,2.8696
59780,Willems,50.6338,3.2396
