genre,nombre_entrees
Abutilon,1
Acaena,2
Acanthus,3
Achillea,4
Acinos,1
Aconitum,1
Actaea,3
Adenophora,2
Adonis,1
Aegopodium,1
Aethionema,1
Agapanthus,1
Agastache,2
Ajania,1
Ajuga,2
Alcea,1
Alchemilla,1
Allium,1
Alonsoa,1
Alstroemeria,1
Alyssum,1
Amsonia,1
Anacyclus,1
Anaphalis,1
Anchusa,1
Androsace,2
Anemone,9
Angelica,1
Antennaria,2
Anthemis,5
Anthericum,2
Aquilegia,6
Arabis,5
Arctanthemum,1
Arenaria,1
Argyranthemum,1
Armeria,3
Arnica,1
Artemisia,9
Arum,1
Aruncus,2
Asarina,1
Asarum,1
Asclepias,3
Asphodeline,1
Asphodelus,1
Aster,11
Azorella,1
Ballota,1
Baptisia,1
Begonia,2
Belamcanda,1
Bellis,1
Bergenia,3
Bletilla,1
Boltonia,1
Boykinia,2
Brunnera,1
Buglossoides,1
Buphthalmum,1
Calamintha,2
Calceolaria,1
Callirhoe,1
Campanula,22
Cardamine,2
Carlina,1
Catananche,1
Centaurea,7
Centranthus,1
Cephalaria,2
Cerastium,4
Ceratostigma,1
Chaenorhinum,1
Chamerion,3
Chelone,1
Chiastophyllum,1
Chrysanthemum,1
Chrysogonum,1
Cimicifuga,3
Cirsium,1
Clematis,4
Codonopsis,2
Commelina,1
Convallaria,1
Convolvulus,3
Coreopsis,20
Cornus,1
Coronilla,1
Cortusa,1
Corydalis,5
Cosmos,1
Cotula,2
Crambe,2
Crassula,1
Crocosmia,7
Cyclamen,3
Cymbalaria,1
Cynoglossum,1
Darmera,1
Delosperma,3
Delphinium,5
